804,1:2:5:6:7:8:11:12:13,2:3:11:12:13,1:2:5:6:7:8:10:11,2:3:4:5:6:11:12:13,1:2:3,,
818,5:6:7:8:9,1:2:3:4:5:6:7:8:9,5:6:7:8:9:11:12:13,1:2:3:4:5:6:7:8:9:11:12:13,1:2:3:4:5:6:7:8:9,3:4,
819,2:3:5:6:7:8:11:12:13,2:3:4:5:6:7:8:9,2:3:5:6:7:8:11:12:13,4:5:6:7:8:9:11:12:13,3:4:5:6:7:8:9:11:12:13,1:2:3:4:5:6:7,
920,1:2:3:4:7:8:9:11:12:13,3:4:5:6:7:8:9:11:12:13,3:4:5:7:8:11:12:13,3:4:5:6:7:8:9:11:12:13,1:2:3:7:8:9:11:12:13,1:2:3:5:6:7:8:9:10,
921,6:7:8:9:11:12:13,3:4:5:6:7:8,1:2:3:6:7:8:9:11:12:13,3:4:7:8,1:2:3:4:5:6:7:8:9:11:12:13,4:5:6:7:8:9:11:12:13,
922,3:4:5:6:7:11:12:13,3:4:7:8:9:11:12:14,3:4:5:6:7:11:12:13,3:4:5:6:7:8:9:11:12:13,1:2:3:7:8:9:11:12:13,1:2:3:4:5:6:7:8:9:10,
925,1:2:3:4:5:6:7:8:11:12:13,1:2:3:5:6:7:8:11:12:13,1:2:3:5:6:7:8:11:12:13,1:2:3:4:5:6:7:8:11:12:13,1:2:3:7:8:9:11:12:13,1:2:3:5:6:7:8:9,
926,1:2:3:4:5:6:11:12:13,2:3:5:6:7:8:11:12:13,1:2:3:4:5:6:7:8:9:11:12:13,2:3:4:5:6:7:8:11:12:13,1:2:3:11:12:13,1:2:3:5:6:7,
927,2:3:5:6:7:8:11:12:13,5:6:7:8:11:12:13,2:3:5:6:7:8:11:12:13,1:2:3:5:6:7:8:11:12:13,1:2:3:4:5:6:7:8:9:11:12:13,1:2:3:5:6:7:8:9:10,
928,2:3:5:6:7:8:11:12:13,2:3:5:6:11:12:13,2:3:5:6:7:8:11:12:13,2:3:5:6:7:8,1:2:3:4:5:6,1:2:3:5:6:7,
932,1:2:3:7:8,5:6,1:2:3:7:8,5:6:7:8:9,1:2:3:4:5:6,,
B501,2:4:5:6,1:2:3:4:5:6:7:8:9,5:6:7:8:9,,,,
B502,1:2:3:4:5:6:7:8:9,1:2:3:4:5:6:7:8:9,1:2:3:4:5:6:7:8:9,3:4:5:6:7:8,,,
B601,1:2:3:4:5:6:7:8:9,3:4:5:6:7:8,3:4:5:6:7:8:9,1:2:4:5:6:7:8:9,4:5:6,,
B602,4:5:6:7:8:9,1:2:3:4:5:6:7:8:9,4:5:6:7:8:9,1:2:3:4:5:6:7:8:9,4:5:6,,
B603,1:2:3:4:5:6:7:8:9,1:2:3:4:5:6:7:8:9,1:2:3:4:5:6:7:8:9:10,1:2:3:4:5:6:7:8:9:10,1:2:3:4:5:6,,
